Autor,Citas,Fecha,Link,Titulo
"HP Bienvenido,, ,D de Haro Gázquez,… , … : Revista de Cultura …, 2023 , dialnet.unirioja.es",0,2023,https://dialnet.unirioja.es/descarga/articulo/9014288.pdf,"El Big Data como metodología de investigación social: Propuestas, renuncias y dilemas desde la sociología"
"G Vélez Cuartas,, ,F Beigel,, ,D Restrepo Quintero,… , 2022 , bibliotecadigital.udea.edu.co",3,2022,https://bibliotecadigital.udea.edu.co/dspace/bitstream/10495/33410/4/VelezGabriel_ProduccionArgentinaAPC_2022.2.pdf.pdf,La producción argentina en acceso abierto y pagos de APC
"L Manovich, , Revista de Occidente “Presencias del …, 2017 , catedradatos.com.ar",6,2017,https://catedradatos.com.ar/media/Analitica-cultural-Intro.pdf,Analítica cultural
"A Marradi, MEM Leonardelli, LGR Zoya , 2013 , sociales.uba.ar",0,2013,http://www.sociales.uba.ar/wp-content/blogs.dir/219/files/Programa_Marradi.pdf,Actualización en nuevas perspectivas metodológicas
"JLM González , Redes. Revista hispana para el análisis de redes …, 2019 , raco.cat",0,2019,https://www.raco.cat/index.php/Redes/article/download/v30-n1-molina/450959,"¿ Tus secretos? No, no, vendemos tu vida entera"
"M Acosta, , IC: Revista Científica de Información y Comunicación …, 2020 , idus.us.es",10,2020,https://idus.us.es/bitstream/handle/11441/103658/560-Texto%20del%20art%C3%ADculo-1761-1-10-20201228.pdf?sequence=1,La acción conectiva por la visibilización de la diversidad sexual en el fenómeno comunicativo# Luimelia
"R Sosa, , Modelos Clave Para el Diseñador: Ante los Escenarios …, 2016 , researchgate.net",0,2016,https://www.researchgate.net/profile/Ricardo-Sosa/publication/283980997_Afinar_la_mirada_del_disenador_ante_los_escenarios_de_cambio_Modelos_de_simulacion_social_para_bombear_intuiciones_en_el_diseno/links/564a9bbf08ae127ff986b38b/Afinar-la-mirada-del-disenador-ante-los-escenarios-de-cambio-Modelos-de-simulacion-social-para-bombear-intuiciones-en-el-diseno.pdf,Modelos de simulación social para “bombear intuiciones” en el diseño
"LG Rodriguez Zoya , Sociológica (México), 2021 , scielo.org.mx",1,2021,https://www.scielo.org.mx/scielo.php?pid=S0187-01732021000200009&script=sci_arttext,Por un diálogo controversial entre los modelos basados en agentes y la planificación estratégica situacional
"OM Granados Erazo, , repository.javeriana.edu.co",0,Null,,Emergencia global del ecosistema financiero computacional
"P Aragón, , 2019 , tdx.cat",9,2019,https://www.tdx.cat/bitstream/handle/10803/668042/tpa.pdf?sequence=1,Characterizing online participation in civic technologies
"M Mensa,, ,M Vernier,, ,L Cárcamo,Ulloa,, F Ruíz… , Revista De …, 2021 , scielo.org.pe",6,2021,http://www.scielo.org.pe/scielo.php?pid=S1684-09332021000200259&script=sci_arttext&tlng=pt,(In) Equidad de género en la prensa chilena: periodistas y fuentes
"TJM Marín Rojas , 2022 , bibliotecadigital.udea.edu.co",1,2022,https://bibliotecadigital.udea.edu.co/dspace/bitstream/10495/30248/13/MarinThaddeus_2022_IndicadoresRicytEvaluacion.pdf,Sistematización de indicadores de los manuales propuestos por la RICYT: Contribución a la construcción de métricas responsables para la evaluación del desarrollo …
"FG Zimmerman, , 2023 , bibliotecadigital.exactas.uba.ar",0,2023,https://bibliotecadigital.exactas.uba.ar/download/tesis/tesis_n7362_Zimmerman.pdf,Desarrollo de modelos matemáticos y computacionales a partir de experimentos masivos para explicar las dinámicas subyacentes a la polarización ideológica
"G Vélez Cuartas,, ,A Uribe,Tirado,… , Política, gestión y …, 2021 , eprints.rclis.org",3,2021,http://eprints.rclis.org/42824/1/Cap%C3%ADtulo.%20Libro%20vinculaci%C3%B3n%20CLACSO.%20CoLav%20UdeA.pdf,"Hacia una plataforma de métricas y evaluación para América Latina en conocimiento especializado: Ciencias, tecnologías, innovación, artes y humanidades"
"LA Beatriz, ,A Alejandro,, F Alejandro… , 2022 XVII Latin …, 2022 , ieeexplore.ieee.org",0,2022,https://digital.cic.gba.gob.ar/bitstreams/bbc31123-1708-48b8-b318-9f250d85078a/download,AlfaDatizando: a Data Visualization Platform to work Computational Thinking in Digital Humanities
"AM Brito , Diseño y complejidad, 2022 , academia.edu",0,2022,https://www.academia.edu/download/91656471/Diseno_y_complejidad_Utopias_ideales_y_p.pdf#page=216,Una visión de complejidad a los sistemas urba-nos. La modelación basada en agentes (ABM) para la recreación de escenarios urbanos y sus posibilidades
"J Perelló, , metode.es",0,Null,https://metode.es/revistas-metode/monograficos/nuevos-entornos-de-conocimiento.html,Nuevos entornos de conocimiento
"JM Magallanes Reyes , repositorio.pucp.edu.pe",0,Null,https://repositorio.pucp.edu.pe/index/bitstream/handle/123456789/188790/27.pdf?sequence=1,"Datos, algoritmos, política y complejidad social"
"AA Nieto, MG Laitano , 2023 , ri.conicet.gov.ar",0,2023,https://ri.conicet.gov.ar/bitstream/handle/11336/229749/CONICET_Digital_Nro.55241b25-24a8-4bef-ae2c-9fb1d494e9e7_X.pdf?sequence=6&isAllowed=y,Análisis computacional de la conflictividad laboral en Mar del Plata durante el gobierno de Cambiemos (2016-2019)
"AN Quinchía , Economía Creativa, 2022 , ciecpress.centro.edu.mx",0,2022,https://ciecpress.centro.edu.mx/ojs/index.php/CentroTI/article/download/651/364,"Nuevas fronteras de la realidad, nuevas fronteras de los negocios. La antropología de los negocios en los mundos sintéticos"
"N Raimondo Anselmino,, ,AL Cardoso,… , V Simposio Argentino …, 2018 , sedici.unlp.edu.ar",1,2018,https://sedici.unlp.edu.ar/bitstream/handle/10915/71990/Documento_completo.pdf-PDFA.pdf?sequence=1,Articulación artesanal-computacional para el estudio interdisciplinario de posteos en cuentas de Facebook: relato de una experiencia asequible
"GF Rosati, , 2022 , ri.conicet.gov.ar",3,2022,https://ri.conicet.gov.ar/bitstream/handle/11336/187219/CONICET_Digital_Nro.51966e5f-d172-4e09-a8a2-7682074689e3_B.pdf?sequence=2&isAllowed=y,Procesamiento de Lenguaje Natural aplicado a las ciencias sociales: Detección de tópicos en letras de tango
"ME Meneses, ,G Pérez Salazar, , Comunicación y sociedad, 2016 , scielo.org.mx",26,2016,https://www.scielo.org.mx/scielo.php?pid=S0188-252X2016000200043&script=sci_arttext,Cómo y qué se estudia sobre Internet y la Sociedad de la Información en México. Una mirada desde la AMIC
"J Perelló, ,RM Benito,, ,JM Galán Ordax,, ,S Gómez,… , 2017 , riubu.ubu.es",0,2017,http://riubu.ubu.es:8080/bitstream/handle/10259/8695/Perello-Libro_Blanco_Sistemas_Complejos_Socio-Tecnologicos_2023.pdf?sequence=1&isAllowed=y,Libro Blanco de los Sistemas Complejos Socio-Tecnológicos 2018-2022
"AM Astobiza, , Caracteres: estudios culturales y críticos de la …, 2018 , dialnet.unirioja.es",1,2018,https://dialnet.unirioja.es/descarga/articulo/6867939.pdf,Repensando la estructura conceptual del contínuum filosofía-psicología: Uso de big data y minería de datos para analizar la transformación conceptual de la filosofía …
"N Raimondo Anselmino,, AM Sambrana, ,AL Cardoso, , 2017 , ri.conicet.gov.ar",18,2017,https://ri.conicet.gov.ar/bitstream/handle/11336/76055/CONICET_Digital_Nro.047ab110-1e78-451e-9790-3c042be65138_A.pdf?sequence=2&isAllowed=y,Medios tradicionales y redes sociales en Internet: un análisis de los posteos compartidos por los diarios argentinos Clarín y La Nación en Facebook (2010-2015)
"L López,Gallego, ,A Díaz,Lucena,, ,P Vicente,Fernández, , 2023 , burjcdigital.urjc.es",0,2023,https://burjcdigital.urjc.es/bitstream/handle/10115/27156/ChatGPT%203%2C5%20FINAL%20cap%C3%ADtulo.pdf?sequence=1&isAllowed=y,ChatGPT-3.5 y su aplicación científica
"GAB Rojas , siepsi.com.co",0,Null,https://siepsi.com.co/2022/02/14/psicometria-y-machine-learning/,Características de los test en medición psicológica
"M Isaza, , Eleuthera, 2021 , revistasojs.ucaldas.edu.co",4,2021,https://revistasojs.ucaldas.edu.co/index.php/eleuthera/article/download/5194/4697,Acerca de la categoría territorios y paisajes en las lógicas sociales de la complejidad
"AA Nieto, EA Calomarde, ,SG Ferreyra, , 2022 , notablesdelaciencia.conicet.gov.ar",0,2022,,La pandemia en el pago chico: Agenda mediática y comentarios de lectorxs en Mar del Plata 2020-2021
"AP Berardi Spairani,, S Pereyra, M Armelino… , 2023 , ri.conicet.gov.ar",0,2023,https://ri.conicet.gov.ar/bitstream/handle/11336/223515/CONICET_Digital_Nro.26053625-90b3-4579-801e-5c18baafa3c5_B.pdf?sequence=2,De los movimientos sociales al compromiso político: Un itinerario de los estudios sobre movilización
"GJ Vélez Cuartas,, ,DA Restrepo Quintero,… , 2020 , bibliotecadigital.udea.edu.co",3,2020,https://bibliotecadigital.udea.edu.co/dspace/bitstream/10495/16620/1/Informe_2020_Pagos_APC_Colombia.pdf,Identificación de pagos de APC por parte de las instituciones de educación superior (IES) colombianas: énfasis en las pertenecientes al Consorcio Colombia
"A Angourakis, , Vegueta: Anuario de la Facultad de Geografía e …, 2023 , accedacris.ulpgc.es",0,2023,https://accedacris.ulpgc.es/bitstream/10553/120436/1/lugar_simulacion_social.pdf,El lugar de la simulación social en arqueología
"F Piñeyrúa , 2021 , ri.unsam.edu.ar",0,2021,https://ri.unsam.edu.ar/bitstream/123456789/1651/1/TLIC_IDAES_2021_PF.pdf,Procesamiento del lenguaje natural aplicado al estudio de tópicos de noticias de seguridad en Argentina: julio a septiembre 2019
"R Batista Tellez , 2021 , repositorio.uci.cu",0,2021,https://repositorio.uci.cu/bitstream/123456789/9695/1/UCIENCIA_2021_paper_459.pdf,Enfoque transcultural de la ciberseguridad. Desafíos para el balance regional en América Latina
"HA Cortes,López, ,SM Rojas,Tolosa,… , Encuentros con …, 2020 , journal.poligran.edu.co",2,2020,https://journal.poligran.edu.co/index.php/encuentros/article/download/2653/2613,Factores Que Facilitan El Desarrollo De Competencias En Tic
"JM Cotrina,, RS Ariza , 2022 , books.google.com",0,2022,,Rutas metodológicas para la modelización en ciencias: Aproximaciones a la neurociencia social
"LG Rodriguez Zoya, P Roggero… , …, 2015 , publications.ut,capitole.fr",19,2015,https://publications.ut-capitole.fr/id/eprint/32179/1/59541545016.pdf,Pensamiento complejo y ciencias de la complejidad Propuesta para su articulación epistemológica y metodológica
"NAG Cruz , European Physical Journal Special Topics, 2012 , researchgate.net",0,2012,https://www.researchgate.net/profile/Nelson-Gomez-Cruz/publication/325273779_Simulacion_basada_en_agentes_Una_metodologia_para_el_estudio_de_sistemas_complejos/links/5fb8818f299bf104cf6632c9/Simulacion-basada-en-agentes-Una-metodologia-para-el-estudio-de-sistemas-complejos.pdf,6. Simulación basada en agentes: una metodología para el estudio de sistemas complejos
"G González,, ,G Kessler,, ,MV Murillo, , Revista mexicana de sociología, 2024 , scielo.org.mx",0,2024,https://www.scielo.org.mx/scielo.php?pid=S0188-25032024000100009&script=sci_arttext,Campos académicos más allá de la dicotomía centro-periferia
"Y Cesarotto , 2018 , ddd.uab.cat",1,2018,https://ddd.uab.cat/pub/trerecpro/2018/hdl_2072_335833/UAB_TFM_Final_ES_v3_alternative.pdf,El debate académico en curso sobre'big data'y su incidencia en la comprensión de la comunicación mediática contemporánea
"FC Prado, , 2021 , ri.conicet.gov.ar",0,2021,https://ri.conicet.gov.ar/bitstream/handle/11336/157965/CONICET_Digital_Nro.2771e451-116f-44ec-8afb-357b362bea77_B.pdf?sequence=5,Agendas universitarias de investigación en las ciencias sociales argentinas: Estructura temática-disciplinar y multi-escalaridad geográfica
"U Cortés, C Madrid, D Innerarity, M Ryall, C Véliz… , demaquinaseintenciones.wordpress …",0,Null,https://demaquinaseintenciones.wordpress.com/2024/02/10/etica-basada-en-dilemas-si-o-no/comment-page-1/,Ética basada en dilemas:¿ sí o no?
