Autor,Citas,Fecha,Link,Titulo
",LC Barba Miranda,BS ,Paz ,Viter",24,2022,http://scielo.sld.cu/scielo.php?pid=S1996-24522022000200758&script=sci_arttext,"Educación en salud, prevención y manejo del dolor de espalda bajo el enfoque"" integración escuela comunidad desde el área de Educación Física"""
"GDM Hernández,RO ,Paz,",51,2012,https://www.raco.cat/index.php/EnsenanzaCS/article/download/263459/350953,El modelo de educación histórica. Experiencia de innovación en la educación básica de México
"R Capdevila,R Vendrell Maños,L Ciller",24,2014,https://recercat.cat/bitstream/handle/2072/284657/RIEE.pdf?sequence=1,La evaluación de la equidad de género en Educación Infantil: estudio paralelo en el Departamento de La Paz (Bolivia) y en la Comunidad Autónoma de Cataluña …
"C Moncada Hurtado,FC Ossa,AM Caro Morales ",3,2012,http://repositorio.ucp.edu.co/bitstream/10785/972/1/CDMCSP176.pdf,"Comunidad de Paz, resiste"
CE Uribe,1,2007,https://www.redalyc.org/pdf/414/41401704.pdf,Las Comunidades de Paz como modelo de cooperación
",NR Zamora,MEÁ Anguita,MG De La ,Paz,",47,2016,https://www.sciencedirect.com/science/article/pii/S0370410616300043,… y adolescentes con necesidades especiales de atención en salud-NANEAS»: recomendaciones del Comité NANEAS de la Sociedad Chilena de Pediatría
"RL Vázquez,ST Tobón,MGV Bucheli,",21,2021,https://revistascientificas.us.es/index.php/fuentes/article/download/11203/13093,La mediación didáctica socioformativa en el aula que favorece la inclusión educativa
D Blanco Cortina,16,2019,http://www.scielo.org.co/scielo.php?pid=S0121-86972019000200164&script=sci_arttext,Proporcionalidad y sanciones transicionales Análisis del modelo de castigo de la Jurisdicción Especial para la Paz (JEP)
"BA Rettberg Beil,",58,2006,https://repositorio.uniandes.edu.co/bitstreams/16ad094c-0b93-4eee-9f5c-60ff27d77863/download,Buscar la paz en medio del conflicto-un propósito que no da tregua: un estudio de las iniciativas de paz en Colombia (desde los años 90 hasta hoy)
"SG Soler,PM Gómez,",17,2014,https://core.ac.uk/download/pdf/33101509.pdf,Contra la neutralidad. Ética y estética en el modelo circular-narrativo de mediación de conflictos
